Student ID,First Name,Last Name,Email,Password
11110,Simone,Brown,SimoneBrown@school.com,111110
11111,James,Brown,JamesBrown@school.com,111111
11112,Phillip,Brown,PhillipBrown@school.com,111112
11113,Chantal,Brown,ChantalBrown@school.com,111113
11114,Jessica,Brown,JessicaBrown@school.com,111114
11115,Ryan,Brown,RyanBrown@school.com,111115
11116,Trudy,Brown,TrudyBrown@school.com,111116
11117,France,Brown,FranceBrown@school.com,111117
11118,Francine,Brown,FrancineBrown@school.com,111118
11119,Sylvester,Brown,SylvesterBrown@school.com,111119
11120,Peter,Brown,PeterBrown@school.com,111120
11121,John,Brown,JohnBrown@school.com,111121
11122,Justine,Brown,JustineBrown@school.com,111122
11123,Jack,Brown,JackBrown@school.com,111123
11124,Jess,Brown,JessBrown@school.com,111124
11125,Ruth,Brown,RuthBrown@school.com,111125
11126,Rebbeca,Brown,RebbecaBrown@school.com,111126
11127,Fiona,Brown,FionaBrown@school.com,111127
11128,Fallon,Brown,FallonBrown@school.com,111128
11129,Tiffany,Brown,TiffanyBrown@school.com,111129
11130,Jackson,Brown,JacksonBrown@school.com,111130
11131,Robby,Brown,RobbyBrown@school.com,111131
11132,Robin,Brown,RobinBrown@school.com,111132
11133,Earl,Brown,EarlBrown@school.com,111133
11134,Ester,White,EsterWhite@school.com,111134
11135,Page,White,PageWhite@school.com,111135
11136,Maggie,White,MaggieWhite@school.com,111136
11137,Jonas,White,JonasWhite@school.com,111137
11138,Jonathan,White,JonathanWhite@school.com,111138
11139,Sally,White,SallyWhite@school.com,111139
11140,Shane,White,ShaneWhite@school.com,111140
11141,Shawn,White,ShawnWhite@school.com,111141
11142,Mason,White,MasonWhite@school.com,111142
11143,Mellisa,White,MellisaWhite@school.com,111143
11144,Mike,White,MikeWhite@school.com,111144
11145,Mikey,White,MikeyWhite@school.com,111145
11146,Sophia,White,SophiaWhite@school.com,111146
11147,Stephanie,White,StephanieWhite@school.com,111147
11148,Sofie,White,SofieWhite@school.com,111148
11149,Shanika,White,ShanikaWhite@school.com,111149
11150,Anna-Kay,White,Anna-KayWhite@school.com,111150
11151,Shanice,White,ShaniceWhite@school.com,111151
11152,Dianna,White,DiannaWhite@school.com,111152
11153,Rihanna,White,RihannaWhite@school.com,111153
11154,Pablo,White,PabloWhite@school.com,111154
11155,Eric,White,EricWhite@school.com,111155
11156,Tom,White,TomWhite@school.com,111156
11157,Serena,White,SerenaWhite@school.com,111157
11158,Sarah,White,SarahWhite@school.com,111158
11159,Mia,Black,MiaBlack@school.com,111159
11160,Allan,Black,AllanBlack@school.com,111160
11161,Zion,Black,ZionBlack@school.com,111161
11162,Alex,Black,AlexBlack@school.com,111162
11163,Athena,Black,AthenaBlack@school.com,111163
11164,Nicholas,Black,NicholasBlack@school.com,111164
11165,Alice,Black,AliceBlack@school.com,111165
11166,Alicia,Black,AliciaBlack@school.com,111166
11167,Vanessa,Black,VanessaBlack@school.com,111167
11168,Jordan,Black,JordanBlack@school.com,111168
11169,Tyreese,Black,TyreeseBlack@school.com,111169
11170,Lexie,Black,LexieBlack@school.com,111170
11171,Lewis,Black,LewisBlack@school.com,111171
11172,Alexia,Black,AlexiaBlack@school.com,111172
11173,Louis,Black,LouisBlack@school.com,111173
11174,Louie,Black,LouieBlack@school.com,111174
11175,Anna-Nichole,Black,Anna-NicholeBlack@school.com,111175
11176,Anna-Beth,Black,Anna-BethBlack@school.com,111176
11177,Hayden,Black,HaydenBlack@school.com,111177
11178,Amarice,Black,AmariceBlack@school.com,111178
11179,Josephine,Jones,JosephineJones@school.com,111179
11180,Donnette,Jones,DonnetteJones@school.com,111180
11181,Conner,Jones,ConnerJones@school.com,111181
11182,Ojani,Jones,OjaniJones@school.com,111182
11183,Conrad,Jones,ConradJones@school.com,111183
11184,Sam,Jones,SamJones@school.com,111184
11185,Wade,Jones,WadeJones@school.com,111185
11186,Shamoy,Jones,ShamoyJones@school.com,111186
11187,Shamoya,Jones,ShamoyaJones@school.com,111187
11188,Rosetta,Jones,RosettaJones@school.com,111188
11189,Clarke,Jones,ClarkeJones@school.com,111189
11190,Elizabeth,Jones,ElizabethJones@school.com,111190
11191,Aleshia,Jones,AleshiaJones@school.com,111191
11192,Shaula,Jones,ShaulaJones@school.com,111192
11193,Shantoya,Jones,ShantoyaJones@school.com,111193
11194,Deshawn,Jones,DeshawnJones@school.com,111194
11195,Tesann,Jones,TesannJones@school.com,111195
11196,Tonice,Jones,ToniceJones@school.com,111196
11197,Tony,Jones,TonyJones@school.com,111197
11198,Monique,Chambers,MoniqueChambers@school.com,111198
11199,Monica,Chambers,MonicaChambers@school.com,111199
11200,Taylor,Chambers,TaylorChambers@school.com,111200
11201,Jade,Chambers,JadeChambers@school.com,111201
11202,Diamond,Chambers,DiamondChambers@school.com,111202
11203,Amber,Chambers,AmberChambers@school.com,111203
11204,Emerald,Chambers,EmeraldChambers@school.com,111204
11205,Ruby,Chambers,RubyChambers@school.com,111205
11206,Pearl,Chambers,PearlChambers@school.com,111206
11207,Destiny,Chambers,DestinyChambers@school.com,111207
11208,Treasure,Chambers,TreasureChambers@school.com,111208
