STUDENT ID NUM,FIRST NAME,LAST NAME,STUDENT EMAIL ADDRESS
11110,Simone,Brown,SimoneBrown@school.com
11111,James,Brown,JamesBrown@school.com
11112,Phillip,Brown,PhillipBrown@school.com
11113,Chantal,Brown,ChantalBrown@school.com
11114,Jessica,Brown,JessicaBrown@school.com
11115,Ryan,Brown,RyanBrown@school.com
11116,Trudy,Brown,TrudyBrown@school.com
11117,France,Brown,FranceBrown@school.com
11118,Francine,Brown,FrancineBrown@school.com
11119,Sylvester,Brown,SylvesterBrown@school.com
11120,Peter,Brown,PeterBrown@school.com
11121,John,Brown,JohnBrown@school.com
11122,Justine,Brown,JustineBrown@school.com
11123,Jack,Brown,JackBrown@school.com
11124,Jess,Brown,JessBrown@school.com
11125,Ruth,Brown,RuthBrown@school.com
11126,Rebbeca,Brown,RebbecaBrown@school.com
11127,Fiona,Brown,FionaBrown@school.com
11128,Fallon,Brown,FallonBrown@school.com
11129,Tiffany,Brown,TiffanyBrown@school.com
11130,Jackson,Brown,JacksonBrown@school.com
11131,Robby,Brown,RobbyBrown@school.com
11132,Robin,Brown,RobinBrown@school.com
11133,Earl,Brown,EarlBrown@school.com
11134,Ester,White,EsterWhite@school.com
11135,Page,White,PageWhite@school.com
11136,Maggie,White,MaggieWhite@school.com
11137,Jonas,White,JonasWhite@school.com
11138,Jonathan,White,JonathanWhite@school.com
11139,Sally,White,SallyWhite@school.com
11140,Shane,White,ShaneWhite@school.com
11141,Shawn,White,ShawnWhite@school.com
11142,Mason,White,MasonWhite@school.com
11143,Mellisa,White,MellisaWhite@school.com
11144,Mike,White,MikeWhite@school.com
11145,Mikey,White,MikeyWhite@school.com
11146,Sophia,White,SophiaWhite@school.com
11147,Stephanie,White,StephanieWhite@school.com
11148,Sofie,White,SofieWhite@school.com
11149,Shanika,White,ShanikaWhite@school.com
11150,Anna-Kay,White,Anna-KayWhite@school.com
11151,Shanice,White,ShaniceWhite@school.com
11152,Dianna,White,DiannaWhite@school.com
11153,Rihanna,White,RihannaWhite@school.com
11154,Pablo,White,PabloWhite@school.com
11155,Eric,White,EricWhite@school.com
11156,Tom,White,TomWhite@school.com
11157,Serena,White,SerenaWhite@school.com
11158,Sarah,White,SarahWhite@school.com
11159,Mia,Black,MiaBlack@school.com
11160,Allan,Black,AllanBlack@school.com
11161,Zion,Black,ZionBlack@school.com
11162,Alex,Black,AlexBlack@school.com
11163,Athena,Black,AthenaBlack@school.com
11164,Nicholas,Black,NicholasBlack@school.com
11165,Alice,Black,AliceBlack@school.com
11166,Alicia,Black,AliciaBlack@school.com
11167,Vanessa,Black,VanessaBlack@school.com
11168,Jordan,Black,JordanBlack@school.com
11169,Tyreese,Black,TyreeseBlack@school.com
11170,Lexie,Black,LexieBlack@school.com
11171,Lewis,Black,LewisBlack@school.com
11172,Alexia,Black,AlexiaBlack@school.com
11173,Louis,Black,LouisBlack@school.com
11174,Louie,Black,LouieBlack@school.com
11175,Anna-Nichole,Black,Anna-NicholeBlack@school.com
11176,Anna-Beth,Black,Anna-BethBlack@school.com
11177,Hayden,Black,HaydenBlack@school.com
11178,Amarice,Black,AmariceBlack@school.com
11179,Josephine,Jones,JosephineJones@school.com
11180,Donnette,Jones,DonnetteJones@school.com
11181,Conner,Jones,ConnerJones@school.com
11182,Ojani,Jones,OjaniJones@school.com
11183,Conrad,Jones,ConradJones@school.com
11184,Sam,Jones,SamJones@school.com
11185,Wade,Jones,WadeJones@school.com
11186,Shamoy,Jones,ShamoyJones@school.com
11187,Shamoya,Jones,ShamoyaJones@school.com
11188,Rosetta,Jones,RosettaJones@school.com
11189,Clarke,Jones,ClarkeJones@school.com
11190,Elizabeth,Jones,ElizabethJones@school.com
11191,Aleshia,Jones,AleshiaJones@school.com
11192,Shaula,Jones,ShaulaJones@school.com
11193,Shantoya,Jones,ShantoyaJones@school.com
11194,Deshawn,Jones,DeshawnJones@school.com
11195,Tesann,Jones,TesannJones@school.com
11196,Tonice,Jones,ToniceJones@school.com
11197,Tony,Jones,TonyJones@school.com
11198,Monique,Chambers,MoniqueChambers@school.com
11199,Monica,Chambers,MonicaChambers@school.com
11200,Taylor,Chambers,TaylorChambers@school.com
11201,Jade,Chambers,JadeChambers@school.com
11202,Diamond,Chambers,DiamondChambers@school.com
11203,Amber,Chambers,AmberChambers@school.com
11204,Emerald,Chambers,EmeraldChambers@school.com
11205,Ruby,Chambers,RubyChambers@school.com
11206,Pearl,Chambers,PearlChambers@school.com
11207,Destiny,Chambers,DestinyChambers@school.com
11208,Treasure,Chambers,TreasureChambers@school.com
